solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,fix_localization,entry_point_clarity,change_blast_radius,environment_setup_complexity,implementation_language_complexity,testing_infrastructure_quality,dependency_complexity,codebase_scale
0,2,4,4,3,4,0,3,2,3,3,2,2,1,4,2,2,3,3,3,pandas-dev__pandas-f1211e7,2026-03-06T15:18:50.337400,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-f1211e7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0,2,4,3,3,3,0,3,2,3,2,2,2,1,3,3,3,3,5,5,numpy__numpy-cb0d7cd,2026-03-06T15:18:49.708697,gpt-5.4-2026-03-05,openai,numpy__numpy-cb0d7cd,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
0,1,4,4,4,4,0,2,1,2,3,2,1,1,3,3,4,2,4,5,abetlen__llama-cpp-python-218d361,2026-03-06T15:15:11.230652,gpt-5.4-2026-03-05,openai,abetlen__llama-cpp-python-218d361,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
0,2,4,3,3,4,1,2,1,2,3,2,1,1,4,2,3,1,2,3,numpy__numpy-382b3ff,2026-03-06T15:18:48.816790,gpt-5.4-2026-03-05,openai,numpy__numpy-382b3ff,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
0,2,4,4,3,4,0,3,1,2,3,2,2,1,4,2,3,1,5,4,numpy__numpy-5f94eb8,2026-03-06T15:18:48.500347,gpt-5.4-2026-03-05,openai,numpy__numpy-5f94eb8,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,2,2,1,1,4,2,2,1,5,4,uploadcare__pillow-simd-7511039,2026-03-06T15:19:08.582233,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-7511039,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
0,2,4,4,3,4,0,2,1,2,4,3,1,1,4,2,3,1,4,4,numpy__numpy-be52f19,2026-03-06T15:18:49.268064,gpt-5.4-2026-03-05,openai,numpy__numpy-be52f19,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
0,2,4,3,3,3,1,3,1,2,3,2,2,1,3,2,2,1,5,5,numpy__numpy-728fedc,2026-03-06T15:18:49.705960,gpt-5.4-2026-03-05,openai,numpy__numpy-728fedc,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,3,2,2,1,4,4,3,4,2,2,pandas-dev__pandas-5d82d8b,2026-03-06T15:18:52.593918,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-5d82d8b,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,2,3,3,2,2,1,4,1,2,1,4,2,tornadoweb__tornado-9a18f6c,2026-03-06T15:19:08.360553,gpt-5.4-2026-03-05,openai,tornadoweb__tornado-9a18f6c,4.0,5.0,2.0,3.0,5.0,3.0,3.0,2.0
0,2,4,3,2,3,1,3,2,3,3,2,2,1,3,2,2,3,2,3,pandas-dev__pandas-65bca65,2026-03-06T15:18:50.774905,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-65bca65,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
0,2,4,3,3,3,0,3,1,3,2,2,2,1,3,2,2,2,5,4,numpy__numpy-22ab9aa,2026-03-06T15:18:47.237480,gpt-5.4-2026-03-05,openai,numpy__numpy-22ab9aa,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0,2,4,4,3,4,1,3,1,2,3,2,2,1,3,2,3,1,4,4,huggingface__transformers-d51b589,2026-03-06T15:19:08.928858,gpt-5.4-2026-03-05,openai,huggingface__transformers-d51b589,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0
0,2,4,4,3,4,0,2,1,2,4,3,1,1,4,2,2,1,2,3,pandas-dev__pandas-81b5f1d,2026-03-06T15:18:52.326954,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-81b5f1d,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
0,2,4,4,4,4,0,3,1,2,3,3,2,1,4,2,3,1,4,4,numpy__numpy-eb21b25,2026-03-06T15:18:50.901489,gpt-5.4-2026-03-05,openai,numpy__numpy-eb21b25,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,2,3,3,2,2,1,4,2,3,1,4,4,pandas-dev__pandas-061c2e9,2026-03-06T15:19:06.339849,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-061c2e9,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,3,2,2,1,4,4,3,4,4,4,pandas-dev__pandas-233bd83,2026-03-06T15:18:51.803257,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-233bd83,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,2,4,3,1,1,4,1,3,1,5,4,numpy__numpy-794f474,2026-03-06T15:18:48.822019,gpt-5.4-2026-03-05,openai,numpy__numpy-794f474,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
0,2,4,3,3,3,0,3,2,3,2,2,2,1,3,3,2,2,1,2,python-pillow__Pillow-fd8ee84,2026-03-06T15:19:07.853404,gpt-5.4-2026-03-05,openai,python-pillow__Pillow-fd8ee84,4.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0
0,2,4,4,3,4,0,3,2,3,2,2,2,1,5,2,3,1,3,4,pydantic__pydantic-addf1f9,2026-03-06T15:19:07.818014,gpt-5.4-2026-03-05,openai,pydantic__pydantic-addf1f9,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0
0,2,4,3,3,3,0,3,1,2,3,2,1,1,4,4,2,2,5,5,numpy__numpy-19bfa3f,2026-03-06T15:15:10.940229,gpt-5.4-2026-03-05,openai,numpy__numpy-19bfa3f,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,2,3,3,2,2,1,4,2,2,2,3,3,pandas-dev__pandas-c34da50,2026-03-06T15:18:50.926733,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-c34da50,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
0,2,4,4,3,4,0,3,1,2,4,3,1,1,4,2,3,3,2,3,pandas-dev__pandas-c51c2a7,2026-03-06T15:19:05.797688,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-c51c2a7,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
0,2,3,3,2,3,1,3,1,2,2,1,2,1,3,4,2,4,1,3,pandas-dev__pandas-37e9e06,2026-03-06T15:18:50.938203,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-37e9e06,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,3,2,2,1,4,2,2,1,4,4,pydantic__pydantic-c2647ab,2026-03-06T15:19:09.699575,gpt-5.4-2026-03-05,openai,pydantic__pydantic-c2647ab,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0
0,2,4,3,3,3,0,3,2,3,2,1,2,1,3,2,3,1,2,3,pydantic__pydantic-4a09447,2026-03-06T15:19:08.306033,gpt-5.4-2026-03-05,openai,pydantic__pydantic-4a09447,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0
0,2,4,4,3,4,0,3,1,2,3,2,1,1,3,1,3,1,2,3,huggingface__transformers-253f9a3,2026-03-06T15:19:08.860657,gpt-5.4-2026-03-05,openai,huggingface__transformers-253f9a3,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0
0,2,4,4,3,4,0,3,2,3,2,1,2,1,3,2,2,2,2,3,huggingface__transformers-211f93a,2026-03-06T15:19:08.804779,gpt-5.4-2026-03-05,openai,huggingface__transformers-211f93a,4.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0
0,2,4,4,3,4,0,3,2,3,3,3,2,1,4,3,3,2,3,4,huggingface__tokenizers-bfd9cde,2026-03-06T15:19:10.007624,gpt-5.4-2026-03-05,openai,huggingface__tokenizers-bfd9cde,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0
0,2,4,4,3,4,0,3,2,3,3,2,2,1,4,2,3,1,4,4,pandas-dev__pandas-e8961f1,2026-03-06T15:18:53.045684,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-e8961f1,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
0,2,4,3,3,4,0,3,2,3,2,2,2,1,4,1,2,1,4,3,pandas-dev__pandas-2cdca01,2026-03-06T15:19:08.075248,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-2cdca01,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0
0,2,4,3,3,4,0,3,1,2,3,2,1,1,4,1,2,1,5,4,uploadcare__pillow-simd-2818b90,2026-03-06T15:19:09.653796,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-2818b90,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0
0,2,4,4,3,4,0,3,2,3,2,2,2,1,4,2,3,2,3,2,huggingface__transformers-63b90a5,2026-03-06T15:19:09.628525,gpt-5.4-2026-03-05,openai,huggingface__transformers-63b90a5,4.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0
0,2,4,4,2,4,1,3,1,3,2,2,2,1,4,4,3,4,2,2,numpy__numpy-7ff7ec7,2026-03-06T15:15:10.161820,gpt-5.4-2026-03-05,openai,numpy__numpy-7ff7ec7,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0
0,2,3,3,3,3,0,3,1,2,2,1,2,1,4,1,3,1,3,3,pandas-dev__pandas-bfaf917,2026-03-06T15:19:02.480961,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-bfaf917,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,3,2,2,1,4,4,3,4,3,4,numpy__numpy-68eead8,2026-03-06T15:18:48.698479,gpt-5.4-2026-03-05,openai,numpy__numpy-68eead8,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
0,1,4,4,4,4,0,3,1,3,3,2,1,1,3,3,2,1,5,5,abetlen__llama-cpp-python-2bc1d97,2026-03-06T15:15:13.055386,gpt-5.4-2026-03-05,openai,abetlen__llama-cpp-python-2bc1d97,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,2,2,2,1,3,4,2,4,3,2,python-pillow__Pillow-63f398b,2026-03-06T15:19:08.307187,gpt-5.4-2026-03-05,openai,python-pillow__Pillow-63f398b,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
0,2,4,3,2,4,1,3,2,3,3,2,2,1,4,1,1,1,2,2,pandas-dev__pandas-235113e,2026-03-06T15:18:50.912292,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-235113e,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0
0,2,4,3,3,4,0,3,2,3,3,2,2,1,4,4,4,4,5,4,pydantic__pydantic-ac9e6ee,2026-03-06T15:19:08.619181,gpt-5.4-2026-03-05,openai,pydantic__pydantic-ac9e6ee,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0
0,2,4,4,3,4,0,3,2,3,2,2,2,1,4,2,3,1,4,3,numpy__numpy-2540554,2026-03-06T15:18:49.818293,gpt-5.4-2026-03-05,openai,numpy__numpy-2540554,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,3,2,2,1,4,2,4,1,3,3,pandas-dev__pandas-c6cf37a,2026-03-06T15:19:06.104374,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-c6cf37a,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0
0,2,4,4,3,4,0,3,2,3,3,2,2,1,4,2,3,2,3,4,pandas-dev__pandas-438b957,2026-03-06T15:19:06.103529,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-438b957,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0
0,2,3,3,2,3,1,3,2,3,2,2,2,1,3,2,3,1,5,4,uploadcare__pillow-simd-6eacce9,2026-03-06T15:19:07.254293,gpt-5.4-2026-03-05,openai,uploadcare__pillow-simd-6eacce9,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0
0,2,3,3,2,3,1,3,1,3,2,1,2,1,2,2,2,2,5,5,tornadoweb__tornado-ac13ee5,2026-03-06T15:19:10.268404,gpt-5.4-2026-03-05,openai,tornadoweb__tornado-ac13ee5,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0
0,2,4,3,3,3,0,3,1,3,3,2,2,1,4,2,3,1,5,5,numpy__numpy-567b57d,2026-03-06T15:18:48.995457,gpt-5.4-2026-03-05,openai,numpy__numpy-567b57d,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
0,2,5,4,4,4,0,3,1,2,3,2,1,1,4,2,3,1,5,4,numpy__numpy-2dfd21e,2026-03-06T15:18:49.476260,gpt-5.4-2026-03-05,openai,numpy__numpy-2dfd21e,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
0,2,4,4,4,4,0,3,1,2,3,2,2,1,4,2,3,1,5,5,numpy__numpy-28706af,2026-03-06T15:18:48.454918,gpt-5.4-2026-03-05,openai,numpy__numpy-28706af,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
0,1,4,4,4,4,0,1,1,2,4,4,1,1,4,2,3,1,3,4,pandas-dev__pandas-9a6c8f0,2026-03-06T15:18:50.920595,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-9a6c8f0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0,2,4,4,3,4,0,3,1,3,3,2,2,1,4,2,2,1,4,4,tornadoweb__tornado-1b464c4,2026-03-06T15:19:08.581808,gpt-5.4-2026-03-05,openai,tornadoweb__tornado-1b464c4,4.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0
0,2,4,3,2,4,1,3,2,3,3,2,2,1,4,2,3,2,4,3,pandas-dev__pandas-9097263,2026-03-06T15:19:06.528438,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-9097263,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0
0,2,4,4,3,4,0,3,2,3,3,2,2,1,4,2,2,1,3,3,pandas-dev__pandas-609c3b7,2026-03-06T15:19:06.808967,gpt-5.4-2026-03-05,openai,pandas-dev__pandas-609c3b7,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
0,2,4,3,3,3,0,3,2,3,2,2,2,1,3,4,2,4,4,4,python-pillow__Pillow-d8af3fc,2026-03-06T15:19:15.501771,gpt-5.4-2026-03-05,openai,python-pillow__Pillow-d8af3fc,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0
