instance_id,domain_knowledge_required,atypicality,problem_clarity,standard_pattern_available,reproduction_clarity,solution_hint,debugging_complexity,information_completeness,verification_difficulty,side_effect_risk,error_specificity,logical_reasoning_required,codebase_scope,expected_behavior_clarity,similar_issue_likelihood
abetlen__llama-cpp-python-218d361,4,3,2,0,2,0,3,1,4,2,3,3,1,2,1
abetlen__llama-cpp-python-2bc1d97,4,4,2,0,2,0,3,2,4,2,3,3,1,2,1
huggingface__datasets-5994036,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
huggingface__datasets-c5464b3,4,3,2,0,2,0,2,2,3,3,3,3,2,3,1
huggingface__datasets-ef3b5dd,4,3,2,0,2,0,3,2,4,3,3,3,3,2,1
huggingface__tokenizers-076319d,4,3,2,0,2,0,3,2,3,2,3,4,3,2,1
huggingface__tokenizers-bfd9cde,4,3,2,0,2,0,3,2,4,2,3,4,3,2,1
huggingface__tokenizers-c893204,4,4,2,0,2,0,3,2,4,3,3,4,2,2,1
huggingface__tokenizers-fc76ad4,5,4,2,0,2,0,4,2,4,2,3,4,3,2,1
huggingface__transformers-211f93a,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
huggingface__transformers-253f9a3,4,3,2,1,2,0,2,2,4,2,3,3,1,2,1
huggingface__transformers-63b90a5,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
huggingface__transformers-d51b589,4,3,2,0,3,0,3,2,4,3,3,4,2,2,1
numpy__numpy-09db9c7,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-11a7e2d,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
numpy__numpy-19bfa3f,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-1b861a2,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-1fcda82,5,4,2,0,2,0,3,2,4,2,3,4,3,2,1
numpy__numpy-22ab9aa,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-248c60e,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-2540554,4,3,3,0,2,0,2,2,3,3,3,4,1,2,1
numpy__numpy-28706af,4,3,3,0,2,0,3,2,3,3,3,4,3,2,1
numpy__numpy-2dfd21e,5,4,2,0,2,0,3,1,4,2,3,4,2,2,1
numpy__numpy-330057f,4,3,2,0,2,0,3,1,3,3,3,4,3,2,1
numpy__numpy-382b3ff,4,4,2,0,2,0,3,1,4,2,3,4,2,2,1
numpy__numpy-567b57d,4,3,2,0,2,0,2,2,3,3,3,3,1,2,1
numpy__numpy-5f94eb8,5,4,2,0,2,0,3,2,4,2,3,4,2,2,1
numpy__numpy-68eead8,4,4,2,0,2,0,3,2,3,3,3,4,2,2,1
numpy__numpy-728fedc,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
numpy__numpy-780799b,4,3,2,0,2,0,3,2,3,3,3,4,2,2,1
numpy__numpy-7853cbc,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-794f474,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-7ff7ec7,3,2,2,1,2,0,2,2,3,3,3,3,1,2,1
numpy__numpy-83c780d,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-893db31,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-8dd6761,5,4,2,0,2,0,3,1,4,3,3,4,3,2,1
numpy__numpy-905d37e,4,3,2,0,2,0,2,2,3,2,3,4,2,2,1
numpy__numpy-ac5c664,5,4,2,0,2,0,3,2,4,3,3,4,2,2,1
numpy__numpy-b862e4f,5,4,2,0,2,0,4,1,4,2,3,4,4,2,1
numpy__numpy-ba89ef9,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-be52f19,5,4,2,0,2,0,3,1,4,2,3,4,3,2,1
numpy__numpy-cb0d7cd,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-cb461ba,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-cedba62,4,3,2,1,2,0,2,2,3,3,3,4,1,2,1
numpy__numpy-e801e7a,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-eb21b25,5,4,2,0,2,0,3,2,4,3,3,4,3,2,1
numpy__numpy-ec52363,4,4,2,0,2,0,3,2,4,2,3,4,2,2,1
numpy__numpy-ee75c87,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
numpy__numpy-ef5e545,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-061c2e9,4,3,2,0,2,0,3,2,3,2,3,3,2,2,1
pandas-dev__pandas-191557d,4,3,2,0,2,0,3,2,4,3,3,4,2,2,1
pandas-dev__pandas-1c2ad16,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-2278923,4,3,2,0,1,0,3,1,4,3,3,4,2,2,1
pandas-dev__pandas-233bd83,4,3,2,0,2,0,3,2,3,3,3,3,3,2,1
pandas-dev__pandas-235113e,4,2,3,1,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-2421931,4,3,2,0,2,0,3,2,3,3,3,3,3,2,1
pandas-dev__pandas-2a08b05,4,3,2,0,1,0,2,1,3,3,3,3,1,2,1
pandas-dev__pandas-2cdca01,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-2f4c93e,4,3,2,0,2,0,3,2,3,2,3,4,2,2,1
pandas-dev__pandas-37e9e06,4,3,2,1,2,0,2,2,3,1,3,3,1,2,1
pandas-dev__pandas-438b957,4,3,3,0,2,0,3,2,3,3,3,3,2,2,1
pandas-dev__pandas-45f0705,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-5d82d8b,4,3,2,0,2,0,3,2,3,3,3,4,2,2,1
pandas-dev__pandas-609c3b7,4,3,3,0,2,0,2,2,2,2,3,3,1,2,1
pandas-dev__pandas-65bca65,4,2,3,1,2,0,2,2,2,2,3,3,1,2,1
pandas-dev__pandas-71c94af,4,3,2,0,1,0,2,1,3,3,3,3,1,2,1
pandas-dev__pandas-81b5f1d,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-84aca21,4,3,2,0,2,0,3,2,3,3,3,3,3,2,1
pandas-dev__pandas-9097263,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-9a6c8f0,4,3,1,0,1,0,4,1,3,3,1,3,4,1,1
pandas-dev__pandas-9d6d587,4,3,2,0,1,0,3,1,4,3,3,4,2,2,1
pandas-dev__pandas-ad3f3f7,4,3,2,0,2,0,3,2,3,2,3,4,2,2,1
pandas-dev__pandas-bfaf917,4,3,2,0,2,0,2,2,3,3,3,3,1,2,1
pandas-dev__pandas-c34da50,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-c51c2a7,4,3,2,0,2,0,3,1,3,3,3,4,3,2,1
pandas-dev__pandas-c6cf37a,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-ccca5df,4,3,2,0,2,0,2,2,3,3,3,3,2,2,1
pandas-dev__pandas-d377cc9,4,2,3,0,2,0,3,2,3,3,3,3,2,2,1
pandas-dev__pandas-e7e3676,4,3,2,0,2,0,3,2,3,3,3,4,3,2,1
pandas-dev__pandas-e8961f1,4,3,2,0,2,0,3,2,3,3,3,4,2,2,1
pandas-dev__pandas-f1211e7,4,3,2,0,2,0,3,2,3,3,3,3,2,2,1
pandas-dev__pandas-f298507,4,3,2,0,2,0,2,2,3,2,3,3,2,2,1
pandas-dev__pandas-fd43d4b,4,2,3,0,2,0,2,2,3,3,3,3,1,2,1
pydantic__pydantic-4a09447,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
pydantic__pydantic-ac9e6ee,4,3,2,0,2,0,3,2,4,3,3,4,3,2,1
pydantic__pydantic-addf1f9,4,3,3,0,2,0,2,2,4,3,3,4,2,2,1
pydantic__pydantic-c2647ab,4,3,2,0,2,0,3,2,3,3,3,3,2,2,1
python-pillow__Pillow-63f398b,5,3,3,1,2,0,2,2,3,2,3,4,1,2,1
python-pillow__Pillow-d8af3fc,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
python-pillow__Pillow-f854676,4,2,3,1,2,1,2,2,3,3,3,3,1,2,1
python-pillow__Pillow-fd8ee84,4,3,3,0,2,0,2,2,3,2,3,3,1,2,1
tornadoweb__tornado-1b464c4,4,3,2,0,2,0,3,2,4,3,3,4,2,2,1
tornadoweb__tornado-4d4c1e0,4,3,2,0,1,0,2,1,4,3,3,4,2,2,1
tornadoweb__tornado-9a18f6c,4,3,2,0,2,0,2,2,4,3,3,3,1,2,1
tornadoweb__tornado-ac13ee5,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
uploadcare__pillow-simd-0514e20,5,4,2,0,2,0,2,2,4,2,3,4,1,2,1
uploadcare__pillow-simd-2818b90,5,4,2,0,2,0,2,2,4,2,3,4,1,2,1
uploadcare__pillow-simd-6eacce9,4,3,2,0,2,0,2,2,3,2,3,3,1,2,1
uploadcare__pillow-simd-7511039,5,4,2,0,2,0,3,1,4,2,3,4,2,2,1
uploadcare__pillow-simd-9e60023,5,4,2,0,2,0,3,2,4,2,3,4,2,2,1
uploadcare__pillow-simd-b4045cf,5,4,2,0,2,0,3,2,4,2,3,4,3,2,1
uploadcare__pillow-simd-d970a39,5,4,2,0,2,0,3,2,4,2,3,4,2,2,1
