instance_id,logical_reasoning_required,codebase_scope,atypicality,solution_complexity,test_edge_case_coverage,domain_knowledge_required,debugging_complexity,side_effect_risk,implementation_language_complexity,change_blast_radius,standard_pattern_available,information_completeness,expected_behavior_clarity,error_specificity,solution_hint
abetlen__llama-cpp-python-218d361,4,5,4,5,2,4,4,4,4,2,0,3,2,2,1
abetlen__llama-cpp-python-2bc1d97,4,5,5,5,2,5,3,4,4,3,0,3,2,2,1
huggingface__datasets-5994036,4,3,3,3,1,4,2,3,2,3,0,4,3,3,1
huggingface__datasets-c5464b3,4,2,4,4,2,4,4,4,2,2,0,4,2,3,1
huggingface__datasets-ef3b5dd,4,5,4,5,2,4,4,4,2,3,0,4,3,3,3
huggingface__tokenizers-076319d,4,2,3,4,3,4,2,4,5,3,1,4,3,3,3
huggingface__tokenizers-bfd9cde,3,3,4,3,2,4,2,3,5,2,0,5,4,4,3
huggingface__tokenizers-c893204,4,1,4,4,2,4,3,3,5,3,0,4,3,3,1
huggingface__tokenizers-fc76ad4,3,3,2,3,2,4,2,2,5,2,1,4,2,3,3
huggingface__transformers-211f93a,4,2,4,3,2,4,2,3,2,2,0,4,3,3,1
huggingface__transformers-253f9a3,3,3,2,2,2,4,2,2,2,2,1,4,3,3,3
huggingface__transformers-63b90a5,3,1,2,3,3,3,2,3,2,2,1,4,3,3,1
huggingface__transformers-d51b589,4,1,4,3,1,5,3,2,2,2,0,4,3,4,2
numpy__numpy-09db9c7,4,4,4,4,4,5,2,3,5,3,0,4,3,3,3
numpy__numpy-11a7e2d,4,3,4,4,3,5,2,3,4,4,0,5,4,4,3
numpy__numpy-19bfa3f,4,4,4,4,3,5,3,3,3,2,0,4,3,3,3
numpy__numpy-1b861a2,4,5,4,5,1,5,3,4,3,2,0,4,3,3,3
numpy__numpy-1fcda82,4,5,4,5,4,5,2,3,4,3,0,4,3,3,3
numpy__numpy-22ab9aa,4,4,4,5,2,5,2,3,4,3,0,4,3,3,3
numpy__numpy-248c60e,3,4,4,4,4,5,2,3,5,3,0,5,3,3,3
numpy__numpy-2540554,4,1,4,4,3,5,3,3,3,3,0,5,3,3,3
numpy__numpy-28706af,4,4,4,4,1,5,4,3,5,4,0,4,3,3,1
numpy__numpy-2dfd21e,4,4,4,4,1,5,2,3,5,3,0,4,3,3,1
numpy__numpy-330057f,4,2,4,3,4,5,3,1,5,5,0,4,3,3,3
numpy__numpy-382b3ff,3,1,4,2,1,5,3,1,4,4,0,5,3,4,3
numpy__numpy-567b57d,4,4,4,4,2,5,3,3,3,2,0,4,3,3,3
numpy__numpy-5f94eb8,4,3,4,4,2,5,2,3,5,4,0,4,3,3,3
numpy__numpy-68eead8,3,1,3,2,4,5,2,3,4,3,1,5,3,4,2
numpy__numpy-728fedc,4,5,4,5,2,5,2,3,5,3,0,4,3,3,3
numpy__numpy-780799b,4,1,3,3,3,5,2,2,4,4,1,5,3,3,0
numpy__numpy-7853cbc,4,1,4,4,3,5,2,3,5,4,0,4,3,3,2
numpy__numpy-794f474,4,3,4,4,1,5,2,3,5,4,0,4,3,3,2
numpy__numpy-7ff7ec7,3,2,2,2,4,4,2,2,4,3,1,5,3,4,3
numpy__numpy-83c780d,4,4,4,5,2,5,2,3,5,3,0,4,3,3,3
numpy__numpy-893db31,4,4,4,4,2,5,2,3,5,3,0,4,3,3,3
numpy__numpy-8dd6761,4,4,4,4,3,5,2,2,5,4,0,4,3,3,2
numpy__numpy-905d37e,4,1,4,3,2,5,2,1,4,3,0,5,3,3,1
numpy__numpy-ac5c664,4,4,4,5,3,5,2,3,5,4,0,4,3,3,3
numpy__numpy-b862e4f,3,3,4,3,2,5,2,3,5,5,0,5,3,4,3
numpy__numpy-ba89ef9,4,3,4,4,1,5,3,3,5,4,0,4,3,4,1
numpy__numpy-be52f19,4,3,4,4,1,5,3,3,5,4,0,5,3,4,0
numpy__numpy-cb0d7cd,4,5,4,5,4,5,2,3,5,4,0,4,3,3,3
numpy__numpy-cb461ba,4,5,4,5,3,5,2,3,5,4,0,4,3,3,3
numpy__numpy-cedba62,4,1,3,3,1,4,2,3,3,3,1,5,3,3,3
numpy__numpy-e801e7a,4,3,4,4,4,5,2,3,5,4,0,4,3,3,0
numpy__numpy-eb21b25,4,4,4,4,1,5,4,3,5,4,0,4,3,3,1
numpy__numpy-ec52363,3,2,4,2,4,5,2,2,4,3,0,5,3,3,1
numpy__numpy-ee75c87,4,4,4,4,4,5,2,3,5,3,0,4,3,3,1
numpy__numpy-ef5e545,4,4,4,4,3,5,2,3,4,3,0,5,3,3,2
pandas-dev__pandas-061c2e9,4,4,3,4,1,4,3,4,4,3,0,4,3,3,1
pandas-dev__pandas-191557d,3,2,3,3,1,4,2,3,3,3,0,4,3,3,1
pandas-dev__pandas-1c2ad16,4,3,3,3,1,4,3,3,3,4,0,4,3,3,1
pandas-dev__pandas-2278923,4,2,3,4,1,4,3,3,3,3,0,5,3,4,2
pandas-dev__pandas-233bd83,4,4,3,4,4,5,1,3,4,3,1,5,3,3,2
pandas-dev__pandas-235113e,2,1,2,2,1,3,1,3,4,3,1,5,3,4,2
pandas-dev__pandas-2421931,4,3,4,4,2,5,4,4,4,4,0,4,3,3,1
pandas-dev__pandas-2a08b05,4,1,3,3,1,4,2,3,4,3,0,4,3,3,1
pandas-dev__pandas-2cdca01,3,2,3,3,1,4,2,3,5,3,1,5,3,4,3
pandas-dev__pandas-2f4c93e,3,3,3,3,2,4,2,3,5,3,0,5,3,4,2
pandas-dev__pandas-37e9e06,2,3,2,1,4,4,2,1,3,3,1,5,3,4,1
pandas-dev__pandas-438b957,4,3,3,3,2,4,3,3,3,3,0,4,3,3,1
pandas-dev__pandas-45f0705,3,3,3,3,2,4,2,3,3,3,0,4,3,3,1
pandas-dev__pandas-5d82d8b,2,1,1,1,4,3,1,1,4,4,1,5,3,4,3
pandas-dev__pandas-609c3b7,3,3,3,3,1,4,2,3,4,3,0,4,3,3,1
pandas-dev__pandas-65bca65,3,2,3,2,2,4,2,2,3,2,0,5,3,4,1
pandas-dev__pandas-71c94af,3,3,3,3,1,4,2,4,3,3,0,4,3,3,1
pandas-dev__pandas-81b5f1d,4,2,3,2,1,4,3,3,5,3,0,5,3,4,1
pandas-dev__pandas-84aca21,4,3,3,3,4,4,2,3,5,3,0,5,3,3,2
pandas-dev__pandas-9097263,3,3,4,3,2,5,2,3,5,4,0,4,3,3,2
pandas-dev__pandas-9a6c8f0,4,1,3,3,1,4,2,3,4,4,0,5,3,4,2
pandas-dev__pandas-9d6d587,3,1,3,2,3,4,2,2,3,3,0,4,3,3,1
pandas-dev__pandas-ad3f3f7,4,1,3,4,2,4,2,3,5,3,0,5,3,4,1
pandas-dev__pandas-bfaf917,3,2,3,3,1,4,1,2,3,3,1,5,3,4,2
pandas-dev__pandas-c34da50,4,2,3,3,3,4,2,3,3,4,0,5,3,4,1
pandas-dev__pandas-c51c2a7,3,2,2,3,3,4,2,3,5,4,1,4,3,3,1
pandas-dev__pandas-c6cf37a,4,2,3,3,2,4,3,3,3,3,0,5,3,4,1
pandas-dev__pandas-ccca5df,4,5,3,5,1,5,2,4,4,3,1,5,3,3,3
pandas-dev__pandas-d377cc9,4,2,3,4,1,4,3,3,4,3,0,5,3,3,1
pandas-dev__pandas-e7e3676,4,3,4,4,1,5,3,4,3,3,0,4,3,3,2
pandas-dev__pandas-e8961f1,4,3,4,4,1,5,3,3,5,3,0,4,3,3,1
pandas-dev__pandas-f1211e7,3,3,3,3,2,4,2,3,4,3,0,5,3,4,1
pandas-dev__pandas-f298507,3,4,3,4,2,4,2,3,3,3,0,5,3,3,2
pandas-dev__pandas-fd43d4b,3,3,3,3,1,4,2,3,3,2,0,5,3,4,3
pydantic__pydantic-4a09447,3,1,3,3,1,4,2,3,2,2,0,4,3,3,2
pydantic__pydantic-ac9e6ee,4,4,4,5,3,5,3,4,3,3,0,4,3,3,3
pydantic__pydantic-addf1f9,4,3,3,3,2,4,2,3,3,4,1,5,3,4,3
pydantic__pydantic-c2647ab,4,4,4,5,1,4,3,4,2,3,0,4,2,3,3
python-pillow__Pillow-63f398b,4,1,3,3,4,4,2,3,4,2,0,5,3,3,1
python-pillow__Pillow-d8af3fc,4,4,3,4,4,5,2,3,5,2,0,4,3,3,3
python-pillow__Pillow-f854676,3,1,3,3,1,4,2,3,3,2,0,4,3,3,2
python-pillow__Pillow-fd8ee84,2,2,2,1,3,4,1,2,3,2,1,5,3,3,2
tornadoweb__tornado-1b464c4,4,1,3,4,1,4,2,3,2,3,0,4,3,3,2
tornadoweb__tornado-4d4c1e0,4,5,4,4,1,4,3,4,3,3,0,4,2,3,3
tornadoweb__tornado-9a18f6c,3,1,3,3,1,5,1,3,3,2,1,5,3,3,3
tornadoweb__tornado-ac13ee5,4,5,4,4,2,4,3,5,2,3,0,4,2,3,3
uploadcare__pillow-simd-0514e20,4,1,4,5,2,5,1,3,4,2,1,5,3,3,3
uploadcare__pillow-simd-2818b90,5,2,4,5,1,5,2,3,4,3,0,4,3,3,3
uploadcare__pillow-simd-6eacce9,5,2,5,5,1,5,3,3,2,2,0,4,3,3,2
uploadcare__pillow-simd-7511039,4,1,4,4,1,5,2,3,5,3,0,4,3,3,3
uploadcare__pillow-simd-9e60023,4,1,4,4,3,5,2,3,4,2,0,4,3,3,3
uploadcare__pillow-simd-b4045cf,4,2,4,5,2,5,2,3,5,4,0,5,3,3,3
uploadcare__pillow-simd-d970a39,3,1,3,3,2,5,2,2,4,2,1,5,3,3,3
